estados,porcentaje_hogares_victimas_delito
Aguascalientes,31.62
Baja California,28.96
Baja California Sur,21.36
Campeche,19.77
Coahuila,24.31
Colima,24.57
Chiapas,17.78
Chihuahua,26.85
Ciudad de Mexico,37.32
Durango,25.8378
Guanajuato,30.19
Guerrero,23.46
Hidalgo,19.21
Jalisco,31.59
Mexico,47.48
Michoacan,16.88
Morelos,29.16
Nayarit,22.81
Nuevo Leon,26.93
Oaxaca,19.21
Puebla,31.47
Queretaro,32.47
Quintana Roo,27.88
San Luis Potosi,26.19
Sinaloa,27.23
Sonora,26.51
Tabasco,32.46
Tamaulipas,19.51
Tlaxcala,30.34
Veracruz,18.65
Yucatan,21.53
Zacatecas,22.11
