estados,promedio_delitos_por_victima_18+
Aguascalientes,1.08
Baja California,1.16
Baja California Sur,1.17
Campeche,1.1
Coahuila,1.21
Colima,1.24
Chiapas,1.09
Chihuahua,1.11
Ciudad de Mexico,1.25
Durango,1.1567
Guanajuato,1.18
Guerrero,1.43
Hidalgo,1.34
Jalisco,1.27
Mexico,1.24
Michoacan,1.28
Morelos,1.42
Nayarit,1.16
Nuevo Leon,1.51
Oaxaca,1.25
Puebla,1.39
Queretaro,1.23
Quintana Roo,1.34
San Luis Potosi,1.31
Sinaloa,1.45
Sonora,1.42
Tabasco,1.33
Tamaulipas,1.27
Tlaxcala,1.28
Veracruz,1.27
Yucatan,1.42
Zacatecas,1.26
