estados,tasa_prevalencia_delictiva_18+
Aguascalientes,27294.58
Baja California,27208.34
Baja California Sur,19002.89
Campeche,16891.09
Coahuila,20075.19
Colima,21460.46
Chiapas,15153.49
Chihuahua,23819.12
Ciudad de Mexico,32077.59
Durango,22553.6389
Guanajuato,25648.36
Guerrero,18830.83
Hidalgo,15265.66
Jalisco,25222.82
Mexico,38252.78
Michoacan,14082.26
Morelos,22728.16
Nayarit,18539.33
Nuevo Leon,23106.4
Oaxaca,14960.76
Puebla,26138.6
Queretaro,26456.72
Quintana Roo,23048.59
San Luis Potosi,22467.23
Sinaloa,20679.74
Sonora,20896.74
Tabasco,26896.45
Tamaulipas,16055.75
Tlaxcala,23675.98
Veracruz,15653.55
Yucatan,17442.23
Zacatecas,17901.31
